mwe,translation_equivalent,literal_gloss,type,gap_pattern,domain,attribution
kick the bucket,сыграть в ящик,ударить ведро,idiom,,general,wiktionary
piece of cake,раз плюнуть,кусок торта,idiom,,general,wiktionary
in spite of,несмотря на,в злости от,collocation,,general,wiktionary
put up with,терпеть,поставить вверх с,phrasal_verb,,general,wiktionary
give __ up,сдаваться,отдать __ вверх,phrasal_verb,__≤3,general,wiktionary
on second thought,поразмыслив,на второй мысли,idiom,,general,wiktionary
in the nick of time,в последний момент,в зарубке времени,idiom,,general,wiktionary
break the ice,сломать лёд,сломать лёд,idiom,,general,wiktionary
hit the books,взяться за учёбу,ударить книги,idiom,,academic,wiktionary
once in a blue moon,очень редко,однажды в синюю луну,idiom,,general,wiktionary
